time_ini,time_end,duration_seg,duration_percent,localidade_id_MSRPMPX_1034,ref_2018_07_21,localidade_id_MSOMCARC_1482,RPSPE_SColTempo_0001_delta_tempo,ref_2018_07_27,ref_2018_07_19,chamados_MSRPPPR,RPNOQ_nOK_0001,localidade_id_MSOMCGR_1417,localidade_id_MSRPRBR_1128,chamados_MSOMCARC,ref_2018_07_08,localidade_id_MSRPNOQ_1526,ref_2018_07_22,localidade_id_MSRPPPR_1251,localidade_id_MSOMJRD_1459,ref_2018_07_31,ref_2018_07_30,ref_Periodo,ref_2018_07_14,ref_2018_07_17,chamados_MSOMMNO,ref_2018_07_11,localidade_id_MSRPNAS_1433,ref_2018_07_13,chamados_MSOMCGR,localidade_id_MSOMJRD_1245,localidade_id_MSRPTCU_1166,ref_2018_07_18,localidade_id_MSRPTCU_468,ref_2018_07_23,ref_2018_07_10,ref_2018_07_01,chamados_MSRPMPX,ref_2018_07,localidade_id_Savis_1509,localidade_id_Savis_1520,localidade_id_MSRPMMA_1106,chamados_Savis,ref_2018_07_15,RPNOQ_SColTempo_0001_delta_tempo,chamados_MSRPTCU,localidade_id_MSRPNVL_1543,chamados_MSRPNOQ,chamados_MSRPMMA,ref_2018_07_07,chamados_MSRPNVL,localidade_id_MSOMCGR_559,chamados_MSRPRBR,RPSPE_nOK_0001,ref_2018_07_24,ref_2018_07_20,ref_2018_07_12,chamados_MSOMJRD,ref_2018_07_06,localidade_id_MSRPTCU_570,ref_2018_07_04,ref_2018_07_05,ref_2018_07_02,ref_2018_07_03,ref_2018_07_26,Chamados_Desconto,ref_2018_07_28,ref_2018_07_29,localidade_id_MSOMMNO_1276,localidade_id_MSOMBLV_1372,localidade_id_MSRPRBR_1265,ref_2018_07_09,localidade_id_MSRPMPX_1042,ref_2018_07_25,ref_2018_07_16,chamados_MSRPNAS,localidade_id_Savis_1531,chamados_MSOMBLV,localidade_id_MSRPMMA_1471,localidade_id_MSRPMPX_1542,localidade_id_MSRPTCU_1371
"2018-07-22 00:00:00","2018-07-22 23:59:59",86399.0,0.00307027467443, , , , , , , , , , , , , ,1, , , , ,1, , , , , , , , , , , , , , , ,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
"2018-07-22 23:59:59","2018-07-23 00:00:00",1.0,3.55359978059E-08, , , , , , , , , , , , , , , , , , ,1, , , , , , , , , , , , , , , ,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
"2018-07-23 00:00:00","2018-07-23 23:59:59",86399.0,0.00307027467443, , , , , , , , , , , , , , , , , , ,1, , , , , , , , , , , ,1, , , ,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
"2018-07-23 23:59:59","2018-07-24 00:00:00",1.0,3.55359978059E-08, , , , , , , , , , , , , , , , , , ,1, , , , , , , , , , , , , , , ,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
"2018-07-24 00:00:00","2018-07-24 23:59:59",86399.0,0.00307027467443, , , , , , , , , , , , , , , , , , ,1, , , , , , , , , , , , , , , ,1, , , , , , , , , , , , , , , ,1, , , , , , , , , , , , , , , , , , , , , , , , , , 
"2018-07-24 23:59:59","2018-07-25 00:00:00",1.0,3.55359978059E-08, , , , , , , , , , , , , , , , , , ,1, , , , , , , , , , , , , , , ,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
"2018-07-25 00:00:00","2018-07-25 23:59:59",86399.0,0.00307027467443, , , , , , , , , , , , , , , , , , ,1, , , , , , , , , , , , , , , ,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1, , , , , , , 
"2018-07-25 23:59:59","2018-07-26 00:00:00",1.0,3.55359978059E-08, , , , , , , , , , , , , , , , , , ,1, , , , , , , , , , , , , , , ,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
"2018-07-26 00:00:00","2018-07-26 23:59:59",86399.0,0.00307027467443, , , , , , , , , , , , , , , , , , ,1, , , , , , , , , , , , , , , ,1, , , , , , , , , , , , , , , , , , , , , , , , , ,1, , , , , , , , , , , , , , , , 
"2018-07-26 23:59:59","2018-07-27 00:00:00",1.0,3.55359978059E-08, , , , , , , , , , , , , , , , , , ,1, , , , , , , , , , , , , , , ,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
"2018-07-27 00:00:00","2018-07-27 23:59:59",86399.0,0.00307027467443, , , , ,1, , , , , , , , , , , , , ,1, , , , , , , , , , , , , , , ,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
"2018-07-27 23:59:59","2018-07-28 00:00:00",1.0,3.55359978059E-08, , , , , , , , , , , , , , , , , , ,1, , , , , , , , , , , , , , , ,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
"2018-07-28 00:00:00","2018-07-28 23:59:59",86399.0,0.00307027467443, , , , , , , , , , , , , , , , , , ,1, , , , , , , , , , , , , , , ,1, , , , , , , , , , , , , , , , , , , , , , , , , , , ,1, , , , , , , , , , , , , , 
"2018-07-28 23:59:59","2018-07-29 00:00:00",1.0,3.55359978059E-08, , , , , , , , , , , , , , , , , , ,1, , , , , , , , , , , , , , , ,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
"2018-07-29 00:00:00","2018-07-29 23:59:59",86399.0,0.00307027467443, , , , , , , , , , , , , , , , , , ,1, , , , , , , , , , , , , , , ,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1, , , , , , , , , , , , , 
"2018-07-29 23:59:59","2018-07-30 00:00:00",1.0,3.55359978059E-08, , , , , , , , , , , , , , , , , , ,1, , , , , , , , , , , , , , , ,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
"2018-07-30 00:00:00","2018-07-30 23:59:59",86399.0,0.00307027467443, , , , , , , , , , , , , , , , , ,1,1, , , , , , , , , , , , , , , ,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
"2018-07-30 23:59:59","2018-07-31 00:00:00",1.0,3.55359978059E-08, , , , , , , , , , , , , , , , , , ,1, , , , , , , , , , , , , , , ,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
"2018-07-31 00:00:00","2018-07-31 23:59:59",86399.0,0.00307027467443, , , , , , , , , , , , , , , , ,1, ,1, , , , , , , , , , , , , , , ,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
